State,Account_length,Intl_plan,Voicemail_message,day_call,day_charge,eve_call,eve_charge,night_call,night_charge,intl_call,intl_charge,CS_calls,Churn
UT,90,No,0,128,44.51,104,18.75,91,6.15,5,2.59,1,0
NV,91,No,0,75,22.73,87,16.6,89,12.62,2,1.59,0,0
ND,105,No,23,85,32.9,90,18.72,111,12.26,5,2.3,0,0
NV,71,Yes,0,113,30.29,94,14.26,111,8.19,3,3.67,3,1
FL,132,No,36,103,38.45,125,15.44,102,11.65,5,2.84,3,1
MD,112,No,0,103,28.97,71,17.02,100,11.62,4,3.13,1,0
AL,41,No,34,63,33.05,110,21.67,115,7.21,9,4.64,2,0
NE,44,No,0,146,40.85,83,13.99,106,10.83,2,2.86,1,0
NV,78,No,0,116,12.75,87,21.14,83,7.92,6,2.57,3,0
IL,149,No,0,117,11.75,100,11.59,53,8.18,3,1.7,1,0
WV,72,No,33,59,16.42,98,26.81,117,7.35,4,1.67,4,1
AR,74,No,0,111,25.25,42,12.45,83,13.01,6,2.67,3,0
UT,50,No,0,106,43.88,106,13.72,110,10.13,5,3.16,1,0
GA,141,No,23,112,25.45,118,13.81,115,9.91,2,2.05,3,0
AZ,140,No,0,134,25.47,98,13.97,124,13.26,2,2.19,1,0
ID,99,No,0,102,32.37,107,13.44,92,12.22,4,3.02,2,0
HI,166,No,0,108,30.84,54,21.57,94,5.05,6,3.13,1,0
MD,74,No,0,116,26.47,63,14.76,97,11.58,4,2.19,0,0
GA,117,No,0,95,25.48,110,21.77,92,9.57,13,3.59,2,0
GA,85,No,0,132,37.79,101,19.68,75,10.06,2,2.97,3,0
UT,36,No,16,111,25.4,113,11.2,87,5.97,2,1.81,0,0
IN,76,No,0,100,34.71,139,24.87,105,10.99,2,2.84,0,0
VT,165,No,0,126,41.29,65,17.83,126,10.28,0,0.0,1,0
IA,130,No,0,119,25.57,99,19.59,76,8.38,4,3.32,1,0
ME,92,Yes,0,113,22.22,122,22.15,98,10.99,2,2.54,2,1
MD,18,No,0,93,46.51,116,9.74,120,11.28,4,2.21,1,0
FL,161,Yes,0,114,26.54,63,15.33,115,8.08,9,3.0,2,0
CA,93,No,36,134,30.38,102,15.18,82,5.71,4,2.16,2,0
AL,144,No,0,93,30.18,75,24.43,118,8.12,3,3.21,2,0
WV,95,No,0,91,29.78,109,20.77,95,3.41,2,2.03,1,0
FL,124,No,28,104,42.74,89,19.13,121,11.34,5,2.03,1,0
MI,93,Yes,0,61,36.87,120,17.63,110,9.98,5,4.73,1,1
MI,109,Yes,26,138,36.92,111,12.37,76,12.63,3,2.51,0,0
NM,80,No,0,97,35.07,98,13.17,82,11.86,12,3.35,0,0
AK,41,No,0,66,27.08,75,10.7,76,11.79,5,3.0,1,0
OH,136,No,31,88,24.33,65,20.11,120,10.25,5,3.08,2,0
KS,143,No,24,69,31.72,116,18.87,138,10.57,5,3.13,1,0
MS,118,No,26,114,29.04,125,16.96,98,7.64,5,2.59,5,1
VT,193,No,17,102,21.08,81,17.25,129,9.23,3,3.32,1,0
NE,73,No,0,94,33.71,101,23.74,87,6.58,8,4.0,3,0
VA,62,No,0,101,29.38,97,17.41,90,10.84,8,2.46,2,0
DE,30,No,30,74,36.96,86,18.17,104,10.22,3,1.78,0,0
AL,60,Yes,29,113,45.2,94,18.34,82,4.86,12,3.78,0,1
ID,148,No,14,137,15.91,72,16.47,84,6.52,5,4.73,1,0
MS,96,No,0,100,16.69,88,26.11,120,8.21,1,2.05,2,0
NM,87,No,0,92,28.59,100,19.1,99,7.63,3,3.48,1,0
WI,41,No,0,97,34.49,104,13.07,92,5.11,3,2.43,3,0
WV,112,No,0,108,44.44,102,13.13,90,5.89,2,3.13,1,0
SC,88,No,0,86,12.46,82,13.72,76,10.78,3,2.21,4,1
KY,122,No,27,84,43.13,109,19.48,123,8.57,5,2.48,7,0
MO,61,No,0,108,7.65,74,12.86,94,6.88,6,2.65,2,0
OK,176,No,0,125,8.06,90,14.26,107,7.34,8,2.84,2,0
MI,30,No,0,88,38.66,100,15.51,134,8.63,3,3.38,0,0
ID,46,No,0,133,21.22,143,13.37,72,8.97,4,2.32,2,0
DC,100,Yes,0,110,11.65,115,28.65,99,9.23,9,3.27,0,0
NY,47,No,37,77,27.8,102,17.26,87,10.44,4,2.11,2,0
AL,77,No,0,112,27.71,89,18.62,66,10.5,3,1.81,2,0
OR,98,No,38,61,36.33,104,21.51,73,9.35,5,2.89,2,0
OK,125,No,36,117,34.22,78,3.59,104,5.66,3,1.46,1,0
NE,194,No,0,101,8.23,138,23.89,87,9.83,1,4.91,1,0
TX,128,No,40,88,29.1,109,12.38,93,8.86,6,3.78,1,0
UT,190,No,22,93,28.31,92,15.56,102,5.44,3,2.3,0,0
NY,59,No,0,113,18.33,125,18.41,92,9.79,3,2.67,2,0
AL,47,No,28,94,24.02,108,14.28,84,5.11,2,2.11,1,0
MN,152,Yes,20,120,40.38,94,21.54,80,11.93,3,3.83,9,1
RI,95,No,27,106,22.02,90,21.16,115,12.06,3,3.21,1,0
CT,31,No,31,54,17.02,97,20.94,131,11.48,3,1.59,0,0
OK,121,No,31,63,40.31,117,17.48,85,8.85,5,2.73,4,0
AK,111,No,0,58,29.38,108,15.56,104,7.15,3,2.13,4,1
GA,44,No,0,112,48.98,92,21.93,90,8.66,4,2.75,3,1
UT,61,Yes,0,103,13.29,149,16.65,100,4.86,6,2.73,2,0
NM,65,No,0,80,25.28,94,22.02,107,6.73,6,3.43,2,0
NE,74,No,25,84,33.08,103,10.19,75,7.9,2,3.54,2,0
NJ,123,No,0,77,27.12,92,25.82,120,10.21,4,3.24,0,0
TX,58,No,20,110,33.07,89,18.16,92,10.65,2,2.57,1,0
MT,74,No,0,96,29.6,94,21.34,123,11.59,5,2.24,2,1
CO,125,No,0,97,22.41,100,11.62,119,13.87,6,2.08,2,0
RI,53,No,18,107,24.96,84,26.35,130,8.04,7,1.94,0,0
WY,99,No,28,88,34.12,116,22.46,102,7.77,5,2.46,1,0
ID,99,No,0,106,24.75,106,8.36,83,10.39,5,2.94,1,0
CT,66,No,29,104,39.0,84,21.88,119,10.42,1,2.16,2,0
ME,97,No,0,76,35.87,100,16.07,102,5.54,4,1.27,3,0
MD,85,Yes,0,73,36.72,117,16.0,98,6.62,7,0.97,2,0
IN,108,No,0,88,49.81,101,13.65,87,6.48,6,2.7,2,0
NC,133,Yes,32,137,37.59,99,22.52,108,7.6,4,4.16,2,1
DE,51,No,0,108,30.86,87,16.74,119,8.42,2,2.78,1,0
MN,186,No,26,107,12.63,116,15.07,90,13.33,3,3.92,2,0
WI,44,Yes,0,92,10.59,82,23.38,108,6.24,3,2.92,1,0
FL,64,No,31,88,38.86,109,21.12,124,7.52,1,2.43,3,0
SD,114,No,36,90,52.68,89,17.03,105,8.26,2,3.83,1,0
FL,92,No,0,74,34.32,119,19.28,80,9.79,6,3.7,3,0
OR,110,No,0,112,25.47,93,15.3,119,6.3,4,3.16,2,0
CO,90,No,30,76,31.25,95,19.52,124,6.48,3,2.08,1,0
CT,72,No,21,108,31.74,86,28.48,119,8.42,4,4.46,1,0
IN,113,No,0,151,35.6,113,29.52,116,11.07,2,2.0,1,1
PA,171,No,25,77,37.94,118,15.57,90,6.79,3,2.75,3,0
NM,104,No,0,109,27.91,90,13.21,117,7.6,8,2.89,1,0
ME,165,No,0,75,25.59,93,16.41,93,14.02,2,2.78,1,0
SD,104,No,0,128,39.81,92,24.91,79,8.28,6,2.65,0,1
AR,110,No,0,102,9.4,124,14.0,108,9.03,5,2.75,1,0
TX,90,Yes,0,97,37.71,134,17.32,154,9.71,4,2.27,1,0
NH,114,No,0,85,28.83,86,5.01,124,8.07,8,2.0,1,0
AL,109,No,0,105,37.21,87,25.49,110,7.14,4,3.05,2,0
OK,92,No,0,85,29.97,125,7.94,107,9.32,1,2.59,2,0
ME,82,No,29,111,35.22,137,21.6,92,7.62,5,2.57,2,0
WV,90,No,0,138,34.97,83,13.76,104,12.14,6,3.38,2,0
HI,87,No,28,95,25.74,97,12.95,109,11.25,0,0.0,1,0
MN,124,No,0,70,26.78,79,11.11,98,8.7,4,2.59,3,0
AZ,84,No,0,80,27.03,128,14.27,101,7.54,5,3.32,1,0
OH,75,No,46,62,36.4,111,17.08,126,11.11,6,2.48,0,0
MI,102,No,0,89,17.44,77,20.91,140,7.67,4,2.46,2,0
MA,62,Yes,0,86,27.15,76,16.79,105,5.47,6,3.75,0,1
WV,143,No,0,109,34.48,104,14.09,71,6.48,4,1.24,1,0
MI,53,No,0,95,9.78,131,22.57,128,10.99,6,3.13,3,0
MO,112,No,0,77,57.04,109,18.06,132,11.93,8,3.43,2,1
RI,129,No,0,119,23.72,105,24.59,97,5.82,8,3.54,0,0
WY,28,No,0,94,31.93,86,21.13,124,9.4,5,2.86,0,0
KY,90,No,0,83,32.93,79,13.11,60,13.46,3,3.43,1,0
OR,151,No,0,108,26.59,118,19.84,141,8.81,6,2.08,4,0
DC,41,No,37,110,40.77,115,18.86,100,8.51,1,1.97,2,0
UT,48,No,43,111,29.24,64,17.02,96,10.49,5,2.16,1,0
VA,153,No,0,107,33.22,96,13.14,97,6.43,6,3.13,1,0
KS,110,Yes,0,79,49.86,90,16.02,91,12.01,4,3.92,0,1
KS,163,No,0,89,32.52,87,16.48,121,12.08,4,3.46,1,0
DC,126,No,0,88,20.81,111,12.22,106,7.07,3,3.11,1,0
DC,126,No,0,110,27.44,125,18.75,78,11.21,2,1.38,0,0
TX,97,No,0,91,24.51,137,19.27,72,6.51,4,3.73,3,0
NJ,95,Yes,37,109,37.43,99,15.75,82,9.23,2,1.11,0,1
DE,87,No,0,105,43.55,102,13.66,80,11.22,2,2.0,4,0
VT,97,No,0,119,19.16,109,18.5,76,6.84,5,1.76,1,0
GA,76,No,0,125,50.92,92,19.27,134,9.48,4,3.7,0,1
TX,140,No,0,107,33.12,99,14.53,93,10.13,4,3.75,0,0
MT,169,No,0,112,17.14,69,19.55,95,8.71,2,2.57,0,0
ND,68,No,22,97,14.03,94,24.64,114,8.1,4,1.3,3,0
NJ,122,No,34,104,24.89,103,7.62,91,9.9,4,4.21,2,0
MO,36,No,0,129,30.24,87,19.09,102,13.78,6,2.92,2,0
CO,120,No,27,84,26.1,73,16.49,94,11.54,7,2.75,5,0
NC,64,No,19,106,30.62,92,10.84,118,10.68,3,2.03,0,0
MT,13,No,31,94,45.1,95,12.55,117,11.67,1,3.48,1,0
DE,106,No,0,83,21.86,114,11.39,113,9.48,2,3.08,0,0
VA,74,No,0,120,28.1,106,16.87,102,9.38,3,2.65,1,0
IL,83,No,0,92,33.15,83,17.89,92,8.13,13,2.97,0,0
OK,49,No,0,79,36.35,93,22.53,128,10.79,7,4.21,0,0
CO,111,No,24,114,34.94,99,18.64,95,9.72,4,3.78,1,0
MT,50,No,22,112,42.99,99,15.12,146,7.13,4,2.3,3,0
ME,88,No,0,91,32.64,127,10.85,125,7.0,5,2.03,1,0
WI,131,No,39,122,11.75,136,8.61,94,4.72,4,2.46,0,0
MO,79,No,0,97,44.49,48,17.9,83,11.55,3,1.62,3,1
NY,140,No,0,81,40.04,130,21.86,111,4.64,4,3.11,2,0
CT,105,No,0,100,36.28,52,17.42,93,8.09,6,2.57,1,0
WY,87,No,22,65,44.85,115,8.79,109,9.36,3,2.3,3,0
CA,96,No,31,126,31.18,106,16.62,93,8.1,5,2.84,1,0
AK,130,No,0,101,41.23,114,8.74,89,6.41,2,2.51,2,0
VA,34,No,0,102,25.67,101,11.17,86,8.4,7,2.67,0,0
CO,139,No,0,103,23.48,100,13.98,63,6.07,2,2.24,1,0
NE,63,No,0,80,35.9,93,20.2,58,11.66,2,3.32,0,0
VT,152,No,0,126,33.51,76,11.06,100,3.51,4,2.0,3,0
ND,147,No,0,95,34.9,128,14.17,84,10.83,4,2.11,1,0
GA,112,No,22,110,30.91,123,19.39,141,11.82,4,2.48,2,0
OR,120,No,0,120,42.84,106,12.77,96,6.83,1,2.59,2,0
WY,171,No,0,135,39.3,74,16.04,124,9.31,1,3.32,1,0
GA,101,No,33,108,34.02,122,16.06,90,9.23,4,4.19,0,0
IL,151,No,0,106,29.8,87,12.27,88,7.21,5,3.19,0,0
CO,60,No,0,99,21.27,62,21.15,79,9.51,3,3.02,3,0
MA,42,No,0,134,41.0,114,9.9,91,6.85,4,2.86,0,0
IN,84,No,0,99,36.91,68,20.06,120,5.32,4,2.54,1,0
NY,65,No,0,110,33.22,109,15.4,105,8.03,4,2.4,0,0
TX,75,Yes,0,78,37.81,111,27.8,104,9.36,9,2.35,1,1
NE,189,No,38,98,43.64,120,12.79,87,5.54,3,3.08,3,0
CO,63,No,32,113,5.25,113,15.9,101,10.39,7,2.32,1,0
SC,108,No,0,101,31.86,126,16.99,107,9.72,8,3.4,1,0
CO,71,No,0,104,47.18,121,11.2,101,5.71,2,2.21,1,0
MS,137,No,0,119,25.02,91,16.39,105,7.77,4,2.75,1,0
NE,82,No,0,36,31.59,134,23.5,104,8.64,7,1.54,4,0
MT,96,No,0,98,16.59,118,8.97,105,9.91,9,3.13,1,0
NH,37,No,0,89,35.02,88,15.81,86,13.82,11,2.27,0,0
IA,98,No,0,86,36.86,114,16.22,79,8.44,9,2.97,0,0
WV,121,No,0,110,17.56,82,10.97,113,7.52,3,2.89,0,0
RI,94,No,0,95,23.7,92,13.52,129,5.77,3,2.08,0,0
KS,99,No,0,110,32.5,102,13.93,114,10.96,3,3.81,1,0
MT,163,No,23,104,27.2,64,16.1,118,10.35,7,2.81,1,0
MO,161,No,0,95,37.69,82,16.41,113,8.73,4,1.76,3,0
HI,99,No,0,81,10.69,64,19.64,121,7.6,5,2.3,1,0
CO,108,No,0,78,36.65,119,16.6,65,8.75,5,0.97,1,0
CT,84,No,42,97,28.1,118,19.0,72,11.74,7,2.05,3,0
DC,139,No,0,81,34.54,99,12.96,76,8.9,3,2.62,2,0
TN,69,No,0,70,33.2,108,18.42,119,11.7,4,3.38,3,0
WY,129,No,0,114,24.43,98,25.31,86,9.57,8,3.08,4,0
MO,106,No,0,104,19.45,101,6.66,78,10.47,0,0.0,2,0
SD,168,No,22,70,29.9,105,17.99,81,7.85,5,1.97,2,0
GA,57,Yes,30,130,39.87,116,16.59,94,12.1,4,3.08,2,0
AZ,67,No,0,116,35.82,86,18.63,83,8.09,6,1.94,1,0
AK,127,No,0,124,30.99,110,14.44,116,8.28,3,2.51,1,0
AK,78,No,0,88,32.35,89,16.53,109,11.54,5,3.16,2,0
CT,100,No,38,88,30.11,108,13.91,72,10.92,2,2.0,0,0
KY,113,No,0,96,36.65,127,16.44,115,4.74,3,3.65,1,0
MI,78,No,0,109,23.36,49,20.2,136,9.3,11,3.78,3,0
OR,129,No,36,103,32.78,83,15.05,118,9.74,5,4.43,1,0
TN,57,No,0,100,25.38,110,17.02,101,10.43,3,3.21,2,0
WV,82,No,0,116,24.43,99,14.51,95,12.95,5,2.11,1,0
WY,94,No,0,105,46.1,105,17.22,51,9.97,3,3.11,3,1
WY,90,No,0,121,35.22,104,24.86,103,10.18,1,2.16,2,0
IN,48,No,0,94,51.07,103,11.32,94,8.88,5,1.94,2,0
NM,85,No,37,123,39.03,90,11.25,76,9.54,8,2.57,2,0
NJ,93,Yes,20,110,31.88,94,14.43,127,7.89,4,3.27,1,0
DC,169,Yes,0,98,9.71,78,16.97,103,12.36,6,1.76,3,0
UT,68,No,0,86,27.56,86,13.18,87,8.54,9,2.97,5,1
KY,91,Yes,0,89,24.65,102,14.94,151,10.07,3,4.51,2,1
KS,68,No,0,123,27.12,93,20.47,76,9.46,3,3.08,1,0
MI,101,No,0,72,32.42,103,17.73,111,9.17,8,2.38,1,0
UT,67,No,20,40,39.2,58,16.07,115,7.3,2,2.54,1,0
NE,66,No,0,133,5.78,61,23.68,120,5.83,3,3.11,0,0
FL,116,No,17,112,32.88,131,20.45,98,11.16,3,3.08,5,0
LA,158,No,0,126,34.34,86,13.9,84,8.79,6,2.81,1,0
MT,78,No,0,122,32.59,88,20.52,86,9.16,5,2.46,1,0
WA,119,No,26,97,27.42,110,21.28,92,6.41,8,1.78,1,0
MI,120,No,0,85,25.6,128,10.12,123,10.48,2,1.73,1,0
KY,155,No,0,102,31.38,117,16.66,122,10.19,1,2.11,1,0
LA,106,No,0,120,37.52,95,22.97,113,5.47,5,2.35,1,0
AL,146,No,32,80,26.18,91,15.77,107,6.67,4,2.21,3,0
MO,101,No,29,116,20.59,100,15.84,75,10.88,6,2.73,0,0
CO,22,No,23,94,30.96,59,13.99,102,5.8,4,3.43,3,0
NY,41,No,0,105,35.68,105,10.36,104,11.42,4,2.59,1,0
OR,69,No,0,76,28.48,92,20.58,103,4.55,4,3.08,2,0
WY,33,No,0,88,36.36,119,20.38,71,6.69,14,2.65,2,0
UT,112,No,0,108,19.69,111,20.68,78,8.31,5,3.54,1,0
NV,136,No,21,88,30.5,97,15.39,120,14.43,4,2.57,2,0
NC,128,No,0,84,31.84,95,23.02,68,9.29,5,2.73,1,0
NC,27,No,0,128,34.2,100,19.31,91,6.56,3,2.27,2,0
WY,161,Yes,0,78,32.23,117,22.73,137,8.3,6,0.35,1,0
FL,120,No,31,83,26.1,96,18.62,76,10.68,4,3.08,0,0
CA,113,No,0,97,31.89,118,17.7,101,7.15,6,2.35,2,0
PA,122,Yes,0,132,39.25,99,20.67,57,8.21,2,2.97,0,1
WV,148,No,26,150,41.63,138,10.03,91,10.62,4,4.1,2,0
NJ,74,No,0,93,39.25,78,18.96,101,7.1,2,2.62,3,0
MT,106,No,0,104,31.81,117,21.27,81,6.52,3,2.97,1,0
MN,179,No,0,54,29.02,108,16.24,107,9.66,4,3.59,1,0
ID,77,No,0,112,32.22,95,17.6,91,9.63,7,2.48,0,0
MA,127,Yes,0,110,30.07,100,14.27,138,8.2,2,2.08,1,1
OR,80,No,0,99,27.39,81,16.9,116,10.28,4,2.86,1,0
AL,61,No,20,133,43.25,96,13.74,91,11.31,4,2.84,0,0
ND,135,Yes,24,54,21.71,105,18.28,84,10.54,4,1.57,2,0
LA,115,No,26,107,28.99,77,18.46,71,10.16,5,3.67,6,0
MS,107,Yes,0,104,46.5,68,15.62,67,6.92,9,2.97,2,0
WV,112,Yes,0,138,27.52,114,17.08,134,6.03,4,2.89,1,0
KS,103,Yes,0,124,10.68,66,14.48,78,12.61,4,2.54,3,0
PA,69,No,0,70,38.79,80,22.41,60,6.42,5,2.89,3,0
SD,85,No,0,82,35.67,94,16.53,85,9.02,3,3.05,0,0
NJ,24,No,0,86,45.15,102,17.75,105,8.21,6,3.0,2,1
AL,90,No,0,97,36.53,117,10.01,78,6.02,2,3.19,2,0
ME,137,No,0,79,18.79,111,18.97,64,7.63,3,2.84,3,0
NV,69,Yes,33,98,46.16,102,21.54,85,7.44,2,2.21,1,1
WI,45,No,0,108,19.18,120,18.6,106,10.81,3,2.43,2,0
HI,73,No,0,118,31.84,90,20.37,108,7.54,2,4.08,1,0
DE,92,No,0,84,33.49,105,22.89,105,7.15,4,2.92,1,0
AZ,113,No,32,89,30.67,124,11.0,124,7.51,2,2.27,1,0
GA,135,No,22,113,33.51,95,22.05,135,6.06,5,3.94,2,0
AZ,100,No,26,115,26.13,146,11.71,104,9.61,5,4.29,1,0
MN,96,No,27,96,44.42,101,18.78,97,8.07,2,3.05,1,0
ME,108,No,0,102,41.85,134,17.2,95,8.1,5,2.54,1,0
FL,84,No,0,88,32.47,119,27.1,79,11.13,4,1.76,0,0
WA,134,No,0,86,35.41,89,21.56,86,13.1,3,3.4,1,0
MT,72,No,0,73,43.01,78,18.64,89,9.49,4,2.65,0,0
AL,83,No,0,87,34.39,111,17.13,82,4.58,4,1.84,0,0
WV,137,No,0,120,29.65,98,13.29,121,6.14,5,2.75,0,0
GA,56,No,30,89,21.61,116,14.63,111,8.76,3,3.27,1,0
OH,61,Yes,16,76,24.4,58,20.62,95,6.65,3,3.05,0,0
DE,171,No,17,94,31.77,138,20.4,64,9.04,3,1.57,1,0
FL,58,No,0,89,39.92,131,9.08,122,8.03,6,2.67,0,0
AK,156,No,0,96,21.03,80,8.76,82,8.52,4,3.54,1,0
WI,166,No,0,103,29.56,83,23.49,113,8.59,5,4.13,0,0
KY,75,No,0,102,53.48,86,14.43,100,12.83,3,1.54,2,1
OH,83,No,0,78,38.74,115,17.64,100,9.53,5,3.27,1,0
UT,243,No,0,92,16.24,63,13.91,118,11.89,6,1.78,2,0
MN,150,No,0,133,24.87,95,17.23,103,10.56,3,3.54,1,0
WV,92,No,16,99,31.28,134,6.49,96,8.33,3,3.43,2,0
MN,80,No,0,110,17.99,88,3.73,87,8.53,5,3.54,0,0
AL,134,No,0,110,30.26,64,13.07,105,10.65,4,3.16,1,0
PA,77,No,24,74,25.4,72,10.53,84,7.84,6,2.73,1,0
DE,147,No,0,104,35.6,78,11.26,123,6.72,3,3.05,2,0
MO,74,No,0,105,29.26,99,17.99,105,8.2,6,3.13,1,0
IL,138,Yes,0,82,28.78,147,18.52,77,8.29,9,2.54,1,0
HI,64,No,0,147,33.01,87,14.74,114,12.09,2,1.49,2,0
ME,120,No,0,56,33.8,73,19.56,81,5.39,3,2.67,2,0
CO,121,Yes,0,94,28.51,121,7.96,115,10.86,1,3.62,3,1
NH,88,No,0,86,34.37,93,18.43,99,10.77,2,3.19,2,0
FL,104,No,0,116,12.99,74,9.83,94,10.18,3,2.54,3,0
GA,27,No,0,75,12.36,117,17.73,71,2.96,3,2.67,1,0
IL,81,No,31,100,35.77,97,19.17,120,7.59,4,2.62,0,0
NC,64,Yes,33,93,21.62,104,13.85,109,11.13,13,2.19,0,0
VT,107,No,28,79,34.31,128,25.92,133,10.15,8,3.21,1,0
DC,88,No,17,78,37.32,94,18.88,92,8.47,5,4.35,1,0
VT,111,No,0,112,16.88,136,22.99,94,10.14,6,2.43,3,0
NV,77,No,0,114,40.66,115,12.75,81,7.24,2,2.78,5,0
OR,67,Yes,0,58,20.55,88,19.98,130,4.28,11,3.08,2,0
AL,102,No,0,81,38.2,112,11.0,109,7.54,6,4.27,1,0
ND,146,No,19,88,30.02,66,13.83,98,9.7,6,3.94,1,0
NE,96,No,0,92,30.7,114,16.23,125,13.3,4,2.78,1,1
ME,149,No,0,79,40.39,107,16.35,111,9.33,9,2.46,0,0
IL,129,No,0,91,33.73,106,22.5,101,5.01,2,2.48,2,0
WA,166,No,0,110,46.63,109,4.5,119,11.07,5,2.94,0,0
KS,149,No,0,91,37.01,74,23.25,99,10.21,3,2.59,3,0
RI,70,No,0,96,22.9,90,20.05,113,11.71,6,2.05,3,0
IA,66,No,0,135,43.57,106,15.32,135,8.43,7,1.67,2,0
NV,160,No,0,90,29.95,115,16.66,95,11.88,4,2.48,1,0
WI,129,No,37,94,34.85,103,14.06,81,8.32,8,3.16,1,0
AL,93,No,0,114,45.54,74,18.96,90,11.82,3,3.05,3,1
HI,169,No,0,111,30.46,130,14.89,92,10.29,6,2.67,2,0
MO,58,No,0,145,25.4,105,16.7,108,9.43,3,4.02,1,0
MO,45,No,0,71,35.29,94,12.98,125,9.8,13,3.35,1,0
CT,155,No,0,108,28.12,103,15.61,108,3.61,4,2.4,3,0
MD,52,No,0,114,35.67,82,14.56,119,6.96,9,2.67,4,0
OH,119,No,27,128,37.42,133,22.8,80,6.59,3,3.0,0,0
NV,86,No,0,72,24.02,95,13.12,91,9.48,5,2.21,1,0
MD,42,No,0,89,33.41,123,20.51,105,6.44,7,1.08,0,0
OH,123,No,0,150,17.85,90,21.39,93,11.61,5,4.02,0,0
MA,98,No,0,119,46.14,102,16.18,118,12.81,6,3.0,4,1
OK,149,No,43,79,35.14,122,14.84,80,10.87,3,2.94,1,0
MA,160,No,0,109,28.36,117,20.06,77,13.84,1,2.51,1,0
WA,103,No,0,107,34.83,102,11.49,106,9.37,3,2.81,5,0
HI,132,No,15,128,26.28,106,20.88,90,6.69,4,2.46,1,0
CO,137,No,0,107,21.59,75,27.47,127,6.48,2,2.03,1,0
FL,129,Yes,0,78,45.46,85,17.36,146,5.03,4,1.59,1,0
WI,62,No,0,66,47.77,108,13.65,74,3.51,0,0.0,1,0
WY,32,No,0,82,29.1,102,15.78,64,9.15,7,2.75,1,0
GA,86,No,0,82,21.1,120,17.22,119,13.03,8,1.81,3,0
FL,130,No,0,113,27.68,111,24.68,140,5.17,3,1.94,1,0
WY,42,No,0,84,24.87,113,21.75,117,2.03,12,2.16,1,0
DE,73,No,0,85,43.32,80,12.19,102,6.93,7,4.05,2,0
ME,66,No,26,108,43.33,135,20.67,95,8.59,3,1.46,2,0
DC,103,No,31,124,18.31,104,16.06,98,8.83,3,2.4,0,0
IA,128,No,0,75,27.0,91,22.51,77,12.15,7,2.05,1,0
CO,104,No,0,113,31.09,85,20.37,104,10.34,4,1.49,2,0
MN,103,No,0,112,33.75,90,3.61,124,8.06,5,3.35,0,0
AZ,87,No,0,91,18.85,115,13.47,131,9.34,5,1.67,1,0
LA,109,No,27,85,28.37,92,18.8,97,8.88,4,3.32,1,1
ME,97,No,0,96,20.54,101,14.43,63,8.73,3,3.21,4,1
MD,106,No,0,118,28.1,101,17.85,93,8.42,3,2.3,2,0
VT,125,No,0,113,21.54,131,13.22,112,9.28,7,3.89,2,0
DC,108,No,35,106,36.7,107,17.05,107,8.79,7,4.19,0,0
WY,125,No,0,132,23.82,126,17.82,77,11.88,2,2.16,1,0
VA,72,Yes,29,114,23.77,91,11.75,88,9.95,6,1.49,0,0
CT,23,No,0,107,54.67,115,21.39,158,6.35,3,3.05,2,1
HI,149,No,0,61,28.32,107,18.6,131,9.37,6,2.21,7,0
WI,73,No,0,90,36.41,78,16.73,112,7.11,8,1.59,0,0
MD,61,No,0,123,44.2,127,17.89,70,10.56,3,2.43,1,1
WV,161,No,0,113,32.62,87,6.03,107,9.22,4,3.62,4,1
UT,118,No,24,83,20.08,72,9.32,73,11.05,2,4.56,1,0
CO,23,No,0,89,32.33,108,14.14,73,9.89,4,4.05,6,0
NC,127,No,25,95,13.97,109,13.88,104,11.92,6,1.38,0,0
NJ,42,No,32,80,27.85,123,15.11,106,8.57,5,2.19,0,0
AR,118,No,0,145,45.53,121,26.89,91,9.39,11,3.89,5,1
IA,45,No,0,91,27.17,86,10.23,93,7.34,3,2.86,2,0
GA,50,No,24,129,36.43,55,24.63,130,14.06,4,2.86,1,0
MO,179,No,0,123,48.84,114,24.48,112,11.97,4,2.84,0,1
MO,152,No,0,122,17.2,87,12.04,124,8.93,3,2.03,2,0
WY,105,No,0,74,17.48,125,23.94,113,10.26,5,3.56,2,0
HI,72,No,0,97,18.55,96,9.83,84,13.31,6,2.24,0,0
PA,52,No,0,67,36.7,108,18.45,130,15.43,2,1.4,1,0
TX,125,No,0,110,34.58,97,10.94,113,8.57,4,2.97,1,0
VA,143,No,0,113,18.72,59,14.37,94,7.5,2,2.48,1,0
RI,65,No,0,51,18.87,84,18.68,89,9.09,14,1.19,1,0
WI,80,No,0,121,40.78,51,12.1,106,16.39,5,2.51,1,0
NC,43,No,0,134,14.31,103,6.87,79,8.82,2,2.92,1,0
NV,143,No,0,127,35.55,80,9.02,90,8.08,6,3.78,0,0
UT,81,No,24,117,22.12,61,16.66,123,6.27,5,3.08,0,0
ME,205,No,24,139,29.89,98,13.18,64,8.13,5,2.11,2,0
HI,24,No,0,104,41.12,112,12.34,105,9.65,5,1.78,1,0
OH,74,No,0,106,23.24,105,19.43,114,11.94,4,2.65,0,0
OK,74,No,0,87,34.07,105,26.28,118,6.84,2,2.7,1,0
KY,74,Yes,0,103,21.39,96,17.65,143,9.33,4,3.81,1,1
AL,200,No,0,87,21.79,105,11.32,123,7.99,2,3.02,1,0
MD,86,No,0,88,38.47,107,18.96,92,11.5,3,3.51,4,0
NE,91,No,37,107,27.59,115,19.88,94,12.48,4,2.48,0,0
